Priority	core-1	            core-2	            core-3	            core-4
0	        444095.468688234	280454.587112331	251024.688432827	330977.066731009
1	        509322.283877733	433810.133054208	362488.086742702	410756.326629042
2	        562998.857484942	515325.706359121	489287.911399267	507892.318393873
3	        998443.118143195	587126.216615539	589838.580819475	569805.399945928
4	        5510200.96860281	692595.800613974	656645.443459519	626396.855950161
5	        5766402.78616069	980428.367997137	730064.101271577	700420.922439741
6	        5874552.02585243	3067064.51536059	892841.100692749	774809.71180854
7	        5988123.24368224	5493953.10878754	1300505.63521501	892733.950476252
