Connections     kcuc        kcut        ktut        ktuc
1	            19.5	    22.2	    40.1	    43.3
2	            42.1	    39.8	    67.3	    79.9
4	            83.1	    69.6	    107.5	    133.6
8	            153.1	    126.6	    153.8	    238.3
16	            244.9	    147.5	    162.6	    358.7
32	            372.3	    175	        149.2	    482.1
64	            486.7	    123.6	    94.2	    517.4
96	            491			0           0           477.2
